model,gpu_type,precision,accuracy,latency_ms,memory_gb,throughput_tokens_sec,batch_size
Phi-4-mini-3.8B,L40S,4-bit,0.7412,188.4,2.4,142.6,8
Phi-4-mini-3.8B,L40S,bf16,0.7605,214.9,8.1,128.3,8
Qwen3-8B,L40S,4-bit,0.8121,264.7,4.9,111.8,8
Qwen3-8B,L40S,bf16,0.8298,331.5,16.4,94.2,8
Qwen3-32B,L40S,4-bit,0.8734,612.3,17.8,52.7,8
Qwen3-32B,A100,4-bit,0.8734,455.1,17.8,71.9,8
gpt-oss-20b,L40S,native,0.8802,489.6,16.2,63.4,8
gpt-oss-20b,A100,native,0.8802,362.8,16.2,86.1,8
gpt-oss-120b,A100,native,0.9155,1142.7,61.3,27.5,8
gpt-oss-120b,RTX-PRO-6000,native,0.9155,1038.2,61.3,30.2,8
Llama-4-Scout-109B,A100,4-bit,0.9068,978.4,56.7,31.8,8
Llama-4-Scout-109B,RTX-PRO-6000,4-bit,0.9068,894.1,56.7,34.9,8
